ID,垀婓部劓ID,忐怹靡趼,忐怹ID,堤汜華萸,場宎源砃,掘蛁,,,,,
1,1,朸挕蔚濂,728,7090;-6829,75,,,,,,
2,1,朸挕蔚濂,728,5310;-6970,192,,,,,,
3,1,朸挕蔚濂,728,5130;-7529,65,,,,,,
4,1,朸挕蔚濂,728,5490;-7890,195,,,,,,
5,1,朸挕蔚濂,728,5151;-8269,64,,,,,,
6,1,朸挕蔚濂,728,5310;-8830,64,,,,,,
7,1,朸挕蔚濂,728,7110;-8929,64,,,,,,
8,1,朸挕蔚濂,728,6070;-7890,64,,,,,,
9,1,朸挕蔚濂,728,5829;-6689,0,,,,,,
10,1,朸挕蔚濂,728,6169;-7210,184,,,,,,
11,1,朸挕蔚濂,728,6530;-6670,192,,,,,,
12,1,朸挕蔚濂,728,6189;-8568,62,,,,,,
13,1,朸挕蔚濂,728,5787;-9070,128,,,,,,
14,1,朸挕蔚濂,728,6570;-9049,64,,,,,,
15,1,朸挕蔚濂,728,6710;-7869,64,,,,,,
16,1,滄る條,726,6689;-6669,56
17,1,滄る條,726,5649;-6688,61
18,1,滄る條,726,5530;-8050,254
19,1,滄る條,726,5530;-7749,120
20,1,滄る條,726,6129;-8170,191
21,1,滄る條,726,6130;-7589,127
22,1,滄る條,726,6690;-9111,255
23,1,滄る條,726,5669;-9110,190
24,1,滄る條,726,6509;-8050,172
25,1,滄る條,726,6390;-8050,254
26,1,滄る條,726,6509;-7748,56
27,1,滄る條,726,6390;-7749,120
28,1,滄る條,726,6509;-7569,0
29,1,滄る條,726,6509;-8230,128
30,1,朸挕蔚濂,728,6330;-7649,64
31,1,朸挕蔚濂,728,6330;-8150,192
32,1,滄る條,726,6289;-7350,172
33,1,滄る條,726,6289;-7409,52
34,1,滄る條,726,6169;-7350,191
35,1,滄る條,726,6030;-7350,255
36,1,滄る條,726,5870;-7350,254
37,1,滄る條,726,5710;-7350,254
38,1,滄る條,726,5529;-7350,255
39,1,滄る條,726,5350;-7350,220
40,1,滄る條,726,5350;-7409,92
41,1,滄る條,726,6809;-6890,160
42,1,滄る條,726,6809;-6949,34
43,1,滄る條,726,5350;-8390,236
44,1,滄る條,726,6289;-8390,163
45,1,滄る條,726,6809;-8909,44
46,1,滄る條,726,6689;-8909,63
47,1,滄る條,726,6570;-8909,126
48,1,滄る條,726,5550;-8909,96,,,,,,
49,1,滄る條,726,5550;-8850,220,,,,,,
50,1,滄る條,726,5689;-8889,62,,,,,,
51,1,滄る條,726,5810;-8909,127,,,,,,
52,1,滄る條,726,5089;-7750,179,,,,,,
53,1,滄る條,726,5089;-8049,57,,,,,,
54,1,滄る條,726,6289;-8449,39,,,,,,
55,1,滄る條,726,6149;-8447,63,,,,,,
56,1,滄る條,726,5990;-8448,127,,,,,,
57,1,滄る條,726,5809;-8449,126,,,,,,
58,1,滄る條,726,5669;-8447,62,,,,,,
59,1,滄る條,726,5510;-8449,127,,,,,,
60,1,滄る條,726,5350;-8449,108,,,,,,
61,1,郘輿濂,727,6150;-6390,190,,,,,,
62,1,滄る條,726,6180;-6390,254,,,,,,
63,1,郘輿濂,727,6210;-6390,254,,,,,,
64,1,郘輿濂,727,6150;-6430,190,,,,,,
65,1,滄る條,726,6180;-6430,254,,,,,,
66,1,郘輿濂,727,6210;-6430,254,,,,,,
67,1,郘輿濂,727,6150;-6470,190,,,,,,
68,1,滄る條,726,6180;-6470,254,,,,,,
69,1,郘輿濂,727,6210;-6470,254,,,,,,
70,1,郘輿濂,727,6150;-6510,190,,,,,,
71,1,滄る條,726,6180;-6510,254,,,,,,
72,1,郘輿濂,727,6210;-6510,254,,,,,,
73,1,滄る條,726,5930;-6850,235,,,,,,
74,1,滄る條,726,6069;-6989,44,,,,,,
75,1,滄る條,726,6029;-7049,43,,,,,,
76,1,滄る條,726,5970;-7049,108,,,,,,
77,1,滄る條,726,5930;-6989,107,,,,,,
78,1,滄る條,726,6290;-6989,108,,,,,,
79,1,滄る條,726,6429;-6850,177,,,,,,
80,1,滄る條,726,6429;-6989,39,,,,,,
81,1,滄る條,726,6389;-7049,42,,,,,,
82,1,滄る條,726,6330;-7049,108,,,,,,
83,1,滄る條,726,4789;-7749,62,,,,,,
84,1,滄る條,726,4760;-7749,62,,,,,,
85,1,滄る條,726,4730;-7749,62,,,,,,
86,1,滄る條,726,4690;-7749,62,,,,,,
87,1,滄る條,726,4650;-7749,127,,,,,,
88,1,滄る條,726,4789;-7689,0,,,,,,
89,1,滄る條,726,4789;-7649,134,,,,,,
90,1,滄る條,726,4788;-7609,0,,,,,,
91,1,朸挕蔚濂,728,6170;-6750,254,,,,,,
92,1,昹ゃ傑藷,733,6189;-6330,191,,,,,,
93,1,滄る條,726,6029;-6370,150,,,,,,
94,1,滄る條,726,6029;-6410,0,,,,,,
95,1,滄る條,726,6029;-6450,0,,,,,,
96,1,滄る條,726,6029;-6490,0
97,1,滄る條,726,6029;-6480,0
98,1,滄る條,726,6029;-6510,0
99,1,滄る條,726,5990;-6509,126
100,1,滄る條,726,5950;-6509,63
101,1,滄る條,726,5920;-6509,63
102,1,滄る條,726,5890;-6509,63
103,1,滄る條,726,6330;-6370,192
104,1,滄る條,726,6330;-6410,64
105,1,滄る條,726,6330;-6450,64
106,1,滄る條,726,6330;-6490,64
107,1,滄る條,726,6360;-6509,127
108,1,滄る條,726,6390;-6509,127
109,1,滄る條,726,6429;-6509,126
110,1,滄る條,726,6469;-6509,126
111,1,滄る條,726,6069;-6850,169
112,1,滄る條,726,6290;-6850,236
113,1,郘輿濂,727,4660;-7930,192
114,1,滄る條,726,4700;-7930,192
115,1,郘輿濂,727,4740;-7930,192
116,1,郘輿濂,727,4780;-7930,192
117,1,郘輿濂,727,4820;-7930,192
118,1,滄る條,726,4660;-7900,192
119,1,郘輿濂,727,4700;-7900,192
120,1,郘輿濂,727,4740;-7900,192
121,1,郘輿濂,727,4780;-7900,192
122,1,滄る條,726,4820;-7900,192
123,1,郘輿濂,727,4660;-7870,192
124,1,郘輿濂,727,4700;-7870,192
125,1,郘輿濂,727,4740;-7870,192
126,1,滄る條,726,4780;-7870,192
127,1,郘輿濂,727,4820;-7870,192
128,1,滄る條,726,4650;-8050,254
129,1,滄る條,726,4680;-8050,190
130,1,滄る條,726,4719;-8050,190
131,1,滄る條,726,4749;-8050,190
132,1,滄る條,726,4789;-8050,190
133,1,滄る條,726,4789;-8080,128
134,1,滄る條,726,4789;-8110,128
135,1,滄る條,726,4789;-8150,128
136,1,滄る條,726,4789;-8190,128
137,1,滄る條,726,5030;-8049,64
138,1,滄る條,726,5030;-7999,64
139,1,滄る條,726,5030;-7949,64
140,1,滄る條,726,5030;-7899,67
141,1,滄る條,726,5030;-7849,67
142,1,滄る條,726,5030;-7800,192
143,1,滄る條,726,5030;-7750,192
144,1,朸挕蔚濂,728,4911;-7890,192
145,1,昹ゃ傑藷,733,4630;-7909,64
146,1,郘輿濂,727,6209;-9259,62
147,1,滄る條,726,6209;-9299,62
148,1,郘輿濂,727,6209;-9339,62
149,1,郘輿濂,727,6209;-9379,62
150,1,郘輿濂,727,6209;-9419,62
151,1,滄る條,726,6180;-9259,62
152,1,郘輿濂,727,6180;-9299,126
153,1,郘輿濂,727,6180;-9339,126
154,1,郘輿濂,727,6180;-9379,126
155,1,滄る條,726,6180;-9419,126
156,1,郘輿濂,727,6150;-9259,127
157,1,郘輿濂,727,6150;-9299,127
158,1,郘輿濂,727,6150;-9339,127
159,1,滄る條,726,6150;-9379,127
160,1,郘輿濂,727,6150;-9419,127
161,1,滄る條,726,6330;-9429,88
162,1,滄る條,726,6330;-9389,192
163,1,滄る條,726,6330;-9349,192
164,1,滄る條,726,6330;-9290,192
165,1,滄る條,726,6379;-9290,190
166,1,滄る條,726,6409;-9290,190
167,1,滄る條,726,6439;-9290,191
168,1,滄る條,726,6469;-9290,191
169,1,滄る條,726,6029;-9429,128
170,1,滄る條,726,6028;-9392,128
171,1,滄る條,726,6029;-9356,6
172,1,滄る條,726,6029;-9325,6
173,1,滄る條,726,6029;-9289,6
