ID,合成类型,成品,名字,等级,技能等级,材料,材料数量,幸运石,说明,白色几率,绿色几率,蓝色几率,金色几率,失败几率,失败产品,强化概率,需求银币
1,1,1,桃木飞剑  需要铸兵术：1级,1,1,7001;7501,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,40
2,1,2,青罡  需要铸兵术：2级,5,2,7002;7502,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
3,1,3,御风  需要铸兵术：3级,10,3,7003;7503,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
4,1,4,玄铁  需要铸兵术：4级,15,4,7004;7504,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,540
5,1,5,墨炎  需要铸兵术：5级,20,5,7005;7505,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3630
6,1,6,灭魂  需要铸兵术：6级,25,6,7006;7506,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5450
7,1,7,蝉翼  需要铸兵术：7级,30,7,7007;7507,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7270
8,1,8,紫电  需要铸兵术：8级,35,8,7008;7508,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9090
9,1,9,清霜  需要铸兵术：9级,40,9,7009;7509,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10900
10,1,10,问天  需要铸兵术：10级,45,10,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,14540
11,1,11,太乙离火剑  需要铸兵术：11级,50,11,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,21810
21,1,21,护身轮  需要铸兵术：1级,1,1,7001;7501,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,40
22,1,22,新月轮  需要铸兵术：2级,5,2,7002;7502,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
23,1,23,金光轮  需要铸兵术：3级,10,3,7003;7503,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
24,1,24,玄冰轮  需要铸兵术：4级,15,4,7004;7504,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,540
25,1,25,鸾飞轮  需要铸兵术：5级,20,5,7005;7505,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3630
26,1,26,冷月轮  需要铸兵术：6级,25,6,7006;7506,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5450
27,1,27,墨刃轮  需要铸兵术：7级,30,7,7007;7507,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7270
28,1,28,皓月轮  需要铸兵术：8级,35,8,7008;7508,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9090
29,1,29,冰精轮  需要铸兵术：9级,40,9,7009;7509,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10900
30,1,30,净月破空轮  需要铸兵术：10级,45,10,7010;7510,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,14540
