WORD,int,char[20],BYTE,BYTE,RtString,char[50],struct,char[20],char[20],BYTE,DWORD,BYTE,WORD,struct,BYTE,BYTE,struct,int,int,struct,struct,bool
#编号,"效果
分类",名字,等级,"伤害
程度",说明,图标,作用条件,特效,特效Link,"作用
目标","攻击
目标","最大目
标个数","最大作
用范围",临是叠加,"是否
有害","同级
覆盖",作用效果,"作用
次数","作用
周期","周期
效果",关闭效果,死亡时是否被清空
wIdx,cClass,szName,cLevel,cDamLev,szDescription,szIcon,filter,szEffect,szEffLink,cTarget,dwATarget,cMaxObj,wRange,actTemp,cAType,cOverlay,actOpen,iDTimes,iCycle,actCycle,actClose,isCleared
1,1,冰心清神,1,0,免疫技能封禁状态,pic_skill_ssj_04,        ,skill_buf0,Bone99,0,3,,,,1,1,,1,10000,,,1
2,1,冰心清神,2,0,免疫技能封禁状态,pic_skill_ssj_04,,skill_buf0,Bone99,0,3,,,,1,1,,1,15000,,,1
3,1,冰心清神,3,0,免疫技能封禁状态,pic_skill_ssj_04,,skill_buf0,Bone99,0,3,,,,1,1,,1,20000,,,1
4,1,冰心清神,4,0,免疫技能封禁状态,pic_skill_ssj_04,,skill_buf0,Bone99,0,3,,,,1,1,,1,25000,,,1
5,1,冰心清神,5,0,免疫技能封禁状态,pic_skill_ssj_04,,skill_buf0,Bone99,0,3,,,,1,1,,1,30000,,,1
6,2,二元重水,1,0,增加水伤害+5%水防御+5%,pic_skill_ssj_05,,skill_buf1,Bip01 R Hand,0,3,,,WaterDmR+0.05;WaterArR+0.05,1,1,,1,1800000,,,1
7,2,二元重水,2,0,增加水伤害+10%水防御+10%,pic_skill_ssj_05,,skill_buf1,Bip01 R Hand,0,3,,,WaterDmR+0.10;WaterArR+0.10,1,1,,1,1800000,,,1
8,2,二元重水,3,0,增加水伤害+15%水防御+15%,pic_skill_ssj_05,,skill_buf1,Bip01 R Hand,0,3,,,WaterDmR+0.15;WaterArR+0.15,1,1,,1,1800000,,,1
9,2,二元重水,4,0,增加水伤害+20%水防御+20%,pic_skill_ssj_05,,skill_buf1,Bip01 R Hand,0,3,,,WaterDmR+0.20;WaterArR+0.20,1,1,,1,1800000,,,1
10,2,二元重水,5,0,增加水伤害+25%水防御+25%,pic_skill_ssj_05,,skill_buf1,Bip01 R Hand,0,3,,,WaterDmR+0.25;WaterArR+0.25,1,1,,1,1800000,,,1
11,3,守心诀,1,0,每秒恢复法力30,pic_skill_ssj_06,,skill_buf2,root,0,3,,,,1,1,,15,1000,MP+30,,1
12,3,守心诀,2,0,每秒恢复法力43,pic_skill_ssj_06,,skill_buf2,root,0,3,,,,1,1,,15,1000,MP+43,,1
13,3,守心诀,3,0,每秒恢复法力56,pic_skill_ssj_06,,skill_buf2,root,0,3,,,,1,1,,15,1000,MP+56,,1
14,3,守心诀,4,0,每秒恢复法力70,pic_skill_ssj_06,,skill_buf2,root,0,3,,,,1,1,,15,1000,MP+70,,1
15,3,守心诀,5,0,每秒恢复法力83,pic_skill_ssj_06,,skill_buf2,root,0,3,,,,1,1,,15,1000,MP+83,,1
16,4,冻结,1,0,使敌人冻结,pic_skill_dbf_02,,skill_debuf0,root,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;PhyArR+2,2,1,,1,3000,,,1
17,4,冻结,2,0,使敌人冻结,pic_skill_dbf_02,,skill_debuf0,root,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;PhyArR+2,2,1,,1,4000,,,1
18,4,冻结,3,0,使敌人冻结,pic_skill_dbf_02,,skill_debuf0,root,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;PhyArR+2,2,1,,1,5000,,,1
19,4,冻结,4,0,使敌人冻结,pic_skill_dbf_02,,skill_debuf0,root,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;PhyArR+2,2,1,,1,6000,,,1
20,4,冻结,5,0,使敌人冻结,pic_skill_dbf_02,,skill_debuf0,root,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;PhyArR+2,2,1,,1,7000,,,1
21,5,弱水,1,0,减少水防御230,pic_skill_dbf_19,,skill_debuf1,Bone99,0,11,,,WaterAr-234,2,1,,1,3000,,,1
22,5,弱水,2,0,减少水防御280,pic_skill_dbf_19,,skill_debuf1,Bone99,0,11,,,WaterAr-286,2,1,,1,3000,,,1
23,5,弱水,3,0,减少水防御340,pic_skill_dbf_19,,skill_debuf1,Bone99,0,11,,,WaterAr-343,2,1,,1,3000,,,1
24,5,弱水,4,0,减少水防御400,pic_skill_dbf_19,,skill_debuf1,Bone99,0,11,,,WaterAr-405,2,1,,1,3000,,,1
25,5,弱水,5,0,减少水防御480,pic_skill_dbf_19,,skill_debuf1,Bone99,0,11,,,WaterAr-472,2,1,,1,3000,,,1
26,6,凝神决,1,0,"增加法力上限2%,追加法力上限150",pic_skill_ssl_04,,,,0,16,,,MaxMPR+0.02;MaxMP+150,1,1,,1,300000,,,1
27,6,凝神决,2,0,"增加法力上限4%,追加法力上限200",pic_skill_ssl_04,,,,0,16,,,MaxMPR+0.04;MaxMP+200,1,1,,1,300000,,,1
28,6,凝神决,3,0,"增加法力上限6%,追加法力上限250",pic_skill_ssl_04,,,,0,16,,,MaxMPR+0.06;MaxMP+250,1,1,,1,300000,,,1
29,6,凝神决,4,0,"增加法力上限8%,追加法力上限300",pic_skill_ssl_04,,,,0,16,,,MaxMPR+0.08;MaxMP+300,1,1,,1,300000,,,1
30,6,凝神决,5,0,"增加法力上限10%,追加法力上限350",pic_skill_ssl_04,,,,0,16,,,MaxMPR+0.1;MaxMP+350,1,1,,1,300000,,,1
31,7,兜率紫炎,1,0,增加火伤害+5%火防御+5%,pic_skill_ssl_06,,skill_buf3,Bip01 R Hand,0,3,,,FireDmR+0.05;FireArR+0.05,1,1,,1,1800000,,,1
32,7,兜率紫炎,2,0,增加火伤害+10%火防御+10%,pic_skill_ssl_06,,skill_buf3,Bip01 R Hand,0,3,,,FireDmR+0.10;FireArR+0.10,1,1,,1,1800000,,,1
33,7,兜率紫炎,3,0,增加火伤害+15%火防御+15%,pic_skill_ssl_06,,skill_buf3,Bip01 R Hand,0,3,,,FireDmR+0.15;FireArR+0.15,1,1,,1,1800000,,,1
34,7,兜率紫炎,4,0,增加火伤害+20%火防御+20%,pic_skill_ssl_06,,skill_buf3,Bip01 R Hand,0,3,,,FireDmR+0.20;FireArR+0.20,1,1,,1,1800000,,,1
35,7,兜率紫炎,5,0,增加火伤害+25%火防御+25%,pic_skill_ssl_06,,skill_buf3,Bip01 R Hand,0,3,,,FireDmR+0.25;FireArR+0.25,1,1,,1,1800000,,,1
36,8,束缚,1,0,束缚无法移动5秒,pic_skill_dbf_05,,skill_debuf2,root,0,11,,,StateMove 1;StateDodge 1,2,1,,1,5000,,,1
37,8,束缚,2,0,束缚无法移动6秒,pic_skill_dbf_05,,skill_debuf2,root,0,11,,,StateMove 1;StateDodge 1,2,1,,1,6000,,,1
38,8,束缚,3,0,束缚无法移动7秒,pic_skill_dbf_05,,skill_debuf2,root,0,11,,,StateMove 1;StateDodge 1,2,1,,1,7000,,,1
39,8,束缚,4,0,束缚无法移动8秒,pic_skill_dbf_05,,skill_debuf2,root,0,11,,,StateMove 1;StateDodge 1,2,1,,1,8000,,,1
40,8,束缚,5,0,束缚无法移动10秒,pic_skill_dbf_05,,skill_debuf2,root,0,11,,,StateMove 1;StateDodge 1,2,1,,1,10000,,,1
41,9,减速,1,0,降低移动速度40%,pic_skill_dbf_04,,skill_debuf3,root,0,11,,,SpeedMoveR-0.4,2,1,,1,10000,,,1
42,9,减速,2,0,降低移动速度40%,pic_skill_dbf_04,,skill_debuf3,root,0,11,,,SpeedMoveR-0.4,2,1,,1,15000,,,1
43,9,减速,3,0,降低移动速度40%,pic_skill_dbf_04,,skill_debuf3,root,0,11,,,SpeedMoveR-0.4,2,1,,1,20000,,,1
44,9,减速,4,0,降低移动速度40%,pic_skill_dbf_04,,skill_debuf3,root,0,11,,,SpeedMoveR-0.4,2,1,,1,25000,,,1
45,9,减速,5,0,降低移动速度40%,pic_skill_dbf_04,,skill_debuf3,root,0,11,,,SpeedMoveR-0.4,2,1,,1,30000,,,1
46,10,致盲,1,0,命中率降低30%,pic_skill_dbf_07,,skill_debuf4,Bone99,0,11,,,AttackRateR-0.3,2,1,,1,30000,,,1
47,10,致盲,2,0,命中率降低40%,pic_skill_dbf_07,,skill_debuf4,Bone99,0,11,,,AttackRateR-0.4,2,1,,1,30000,,,1
48,10,致盲,3,0,命中率降低50%,pic_skill_dbf_07,,skill_debuf4,Bone99,0,11,,,AttackRateR-0.5,2,1,,1,30000,,,1
49,10,致盲,4,0,命中率降低60%,pic_skill_dbf_07,,skill_debuf4,Bone99,0,11,,,AttackRateR-0.6,2,1,,1,30000,,,1
50,10,致盲,5,0,命中率降低70%,pic_skill_dbf_07,,skill_debuf4,Bone99,0,11,,,AttackRateR-0.7,2,1,,1,30000,,,1
51,11,花弄影,1,0,增加移动速度20%,pic_skill_hjl_04,,skill_buf4,root,0,3,,,SpeedMoveR+0.2;Hiding+2;Immuno+1,1,1,,1,15000,,,1
52,11,花弄影,2,0,增加移动速度25%,pic_skill_hjl_04,,skill_buf4,root,0,3,,,SpeedMoveR+0.25;Hiding+2;Immuno+1,1,1,,1,15000,,,1
53,11,花弄影,3,0,增加移动速度30%,pic_skill_hjl_04,,skill_buf4,root,0,3,,,SpeedMoveR+0.3;Hiding+2;Immuno+1,1,1,,1,15000,,,1
54,11,花弄影,4,0,增加移动速度35%,pic_skill_hjl_04,,skill_buf4,root,0,3,,,SpeedMoveR+0.35;Hiding+2;Immuno+1,1,1,,1,15000,,,1
55,11,花弄影,5,0,增加移动速度50%,pic_skill_hjl_04,,skill_buf4,root,0,3,,,SpeedMoveR+0.5;Hiding+2;Immuno+1,1,1,,1,15000,,,1
56,12,百花缭绕,1,0,加持保护罩吸收伤害700,pic_skill_hjl_05,,skill_buf5,root,0,16,,,AbsorptionDamage+700,1,1,,1,180000,,,1
57,12,百花缭绕,2,0,加持保护罩吸收伤害800,pic_skill_hjl_05,,skill_buf5,root,0,16,,,AbsorptionDamage+800,1,1,,1,180000,,,1
