ID,名称,阶段,类型,子类型,神兽ID,分解ID,可锻造,可交易,可商店,可删除,可丢弃,可重叠摆放,是否任务道具,是否可存仓,不允许融合,移动坐标,点数,价值,仙誉,俗名,积分,军功,帮贡,门贡,命中,伤害,防御,闪躲,攻击速度,攻击距离,移动速度,必杀率,MaxHp,MaxMp,抗火,抗水,抗毒,法宝属性,神兽属性,升级百分比,等级需求,最大等级,选择等级,修为等级需求,力量需求,体质需求,敏捷需求,智力需求,精准需求,职业需求,阶段需求,Icon,路径动画,刀光,Model,UpdateModel,UpdateEffect,Sound,初始使用次数,最大使用次数,耐久上限,Hp增加,Hp百分比增加,Mp增加,Mp百分比增加,Enp增加,Enp百分比增加,Exp增加,打卡时间增加,使用限制,持续时间,对应Skin,特效文件,是否双手武器,技能ID,任务ID,套装ID,宝石合成,宝石合成成功率,宝石合成金钱,是否副本掉落,参数1,说明,备注
1,桃木飞剑,1,1,6,,1,1,1,1,1,1,0,0,1,,,,100,,,,,,,11,19&21,,,0.8,200,,6,,,,,,,,,1,150,1,,,10,,10,,4,1,pic_w_ssj_01,ss_fj,eff_addhp,w_ssj_f_01,1&w_ssj_f_01&w_ssj_m_01;1&w_ssj_f_01&w_ssj_m_01;1&w_ssj_f_01_01&w_ssj_m_01_01;1&w_ssj_f_01_01&w_ssj_m_01_01;1&w_ssj_f_01_02&w_ssj_m_01_02;1&w_ssj_f_01_02&w_ssj_m_01_02;1&w_ssj_f_01_02&w_ssj_m_01_02;1&w_ssj_f_01_03&w_ssj_m_01_03;1&w_ssj_f_01_03&w_ssj_m_01_03;1&w_ssj_f_01_03&w_ssj_m_01_03;1&w_ssj_f_01_04&w_ssj_m_01_04;,,Click_m.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">有镇宅辟邪之神功的桃木剑，桃木剑为道士做法常用之物，妖兽皆惧。</FONT></P>",
2,青罡,1,1,6,,2,1,1,1,1,1,0,0,1,,,,200,,,,,,,20,27&30,,,0.8,200,,6,,,,,,,,,10,150,10,,,28,,46,,4,1,pic_w_ssj_02,ss_fj,eff_addhp,w_ssj_f_02,1&w_ssj_f_02&w_ssj_m_02;1&w_ssj_f_02&w_ssj_m_02;1&w_ssj_f_02_01&w_ssj_m_02_01;1&w_ssj_f_02_01&w_ssj_m_02_01;1&w_ssj_f_02_02&w_ssj_m_02_02;1&w_ssj_f_02_02&w_ssj_m_02_02;1&w_ssj_f_02_02&w_ssj_m_02_02;1&w_ssj_f_02_03&w_ssj_m_02_03;1&w_ssj_f_02_03&w_ssj_m_02_03;1&w_ssj_f_02_03&w_ssj_m_02_03;1&w_ssj_f_02_04&w_ssj_m_02_04;,,Click_t2.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">青罡剑始于商代，剑身一般较短，形状如同柳叶。</FONT></P>",
3,御风,1,1,6,,3,1,1,1,1,1,0,0,1,,,,400,,,,,,,31,37&40,,,0.8,200,,6,,,,,,,,,20,150,20,,,48,,86,,4,1,pic_w_ssj_03,ss_fj,eff_addhp,w_ssj_f_03,1&w_ssj_f_03&w_ssj_m_03;1&w_ssj_f_03&w_ssj_m_03;1&w_ssj_f_03_01&w_ssj_m_03_01;1&w_ssj_f_03_01&w_ssj_m_03_01;1&w_ssj_f_03_02&w_ssj_m_03_02;1&w_ssj_f_03_02&w_ssj_m_03_02;1&w_ssj_f_03_02&w_ssj_m_03_02;1&w_ssj_f_03_03&w_ssj_m_03_03;1&w_ssj_f_03_03&w_ssj_m_03_03;1&w_ssj_f_03_03&w_ssj_m_03_03;1&w_ssj_f_03_04&w_ssj_m_03_04;,,Click_t2.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">御风石乃风劫时必备之法器，能抗拒巨大的风劫。</FONT></P>",
4,玄铁,1,1,6,,4,1,1,1,1,1,0,0,1,,,,1200,,,,,,,42,46&51,,,0.8,200,,6,,,,,,,,,30,150,30,,,68,,126,,4,1,pic_w_ssj_04,ss_fj,eff_addhp,w_ssj_f_04,1&w_ssj_f_04&w_ssj_m_04;1&w_ssj_f_04&w_ssj_m_04;1&w_ssj_f_04_01&w_ssj_m_04_01;1&w_ssj_f_04_01&w_ssj_m_04_01;1&w_ssj_f_04_02&w_ssj_m_04_02;1&w_ssj_f_04_02&w_ssj_m_04_02;1&w_ssj_f_04_02&w_ssj_m_04_02;1&w_ssj_f_04_03&w_ssj_m_04_03;1&w_ssj_f_04_03&w_ssj_m_04_03;1&w_ssj_f_04_03&w_ssj_m_04_03;1&w_ssj_f_04_04&w_ssj_m_04_04;,,Click_t2.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">此飞剑材料来自于精铁与玄铁之合金，精铁使其坚硬无比，玄铁使其杀气腾腾。</FONT></P>",
5,墨炎,1,1,6,,5,1,1,1,1,1,0,0,1,,,,8000,,,,,,,53,56&61,,,0.8,200,,6,,,,,,,,,40,150,40,,,88,,166,,4,1,pic_w_ssj_05,ss_fj,eff_addhp,w_ssj_f_05,1&w_ssj_f_05&w_ssj_m_05;1&w_ssj_f_05&w_ssj_m_05;1&w_ssj_f_05_01&w_ssj_m_05_01;1&w_ssj_f_05_01&w_ssj_m_05_01;1&w_ssj_f_05_02&w_ssj_m_05_02;1&w_ssj_f_05_02&w_ssj_m_05_02;1&w_ssj_f_05_02&w_ssj_m_05_02;1&w_ssj_f_05_03&w_ssj_m_05_03;1&w_ssj_f_05_03&w_ssj_m_05_03;1&w_ssj_f_05_03&w_ssj_m_05_03;1&w_ssj_f_05_04&w_ssj_m_05_04;,,Click_t2.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">此飞剑形如弯钩，通体墨色，虽精气内敛但依然难掩其冷淡而超然卓绝之英气。</FONT></P>",
6,灭魂,1,1,6,,6,1,1,1,1,1,0,0,1,,,,12000,,,,,,,64,65&72,,,0.8,200,,6,,,,,,,,,50,150,50,,,108,,206,,4,1,pic_w_ssj_06,ss_fj,eff_addhp,w_ssj_f_06,1&w_ssj_f_06&w_ssj_m_06;1&w_ssj_f_06&w_ssj_m_06;1&w_ssj_f_06_01&w_ssj_m_06_01;1&w_ssj_f_06_01&w_ssj_m_06_01;1&w_ssj_f_06_02&w_ssj_m_06_02;1&w_ssj_f_06_02&w_ssj_m_06_02;1&w_ssj_f_06_02&w_ssj_m_06_02;1&w_ssj_f_06_03&w_ssj_m_06_03;1&w_ssj_f_06_03&w_ssj_m_06_03;1&w_ssj_f_06_03&w_ssj_m_06_03;1&w_ssj_f_06_04&w_ssj_m_06_04;,,Click_t2.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">此飞剑乃昆仑祖师飞升前的挚宝，因其平生杀敌无数，使此剑剑气浓厚，待昆仑祖师飞升后遗落他方。</FONT></P>",
7,蝉翼,1,1,6,,7,1,1,1,1,1,0,0,1,,,,16000,,,,,,,75,75&82,,,0.8,200,,6,,,,,,,,,60,150,60,,,128,,246,,4,1,pic_w_ssj_07,ss_fj,eff_addhp,w_ssj_f_07,1&w_ssj_f_07&w_ssj_m_07;1&w_ssj_f_07&w_ssj_m_07;1&w_ssj_f_07_01&w_ssj_m_07_01;1&w_ssj_f_07_01&w_ssj_m_07_01;1&w_ssj_f_07_02&w_ssj_m_07_02;1&w_ssj_f_07_02&w_ssj_m_07_02;1&w_ssj_f_07_02&w_ssj_m_07_02;1&w_ssj_f_07_03&w_ssj_m_07_03;1&w_ssj_f_07_03&w_ssj_m_07_03;1&w_ssj_f_07_03&w_ssj_m_07_03;1&w_ssj_f_07_04&w_ssj_m_07_04;,,Click_t2.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">长眉掌门曾经收服过一只金蝉虫，白眉便将金蝉度劫后所吐金丝茧注成此飞剑，保存于望月真武殿中。</FONT></P>",
8,紫电,1,1,6,,8,1,1,1,1,1,0,0,1,,,,20000,,,,,,,86,84&93,,,0.8,200,,6,,,,,,,,,70,150,70,,,148,,286,,4,1,pic_w_ssj_08,ss_fj,eff_addhp,w_ssj_f_08,1&w_ssj_f_08&w_ssj_m_08;1&w_ssj_f_08&w_ssj_m_08;1&w_ssj_f_08_01&w_ssj_m_08_01;1&w_ssj_f_08_01&w_ssj_m_08_01;1&w_ssj_f_08_02&w_ssj_m_08_02;1&w_ssj_f_08_02&w_ssj_m_08_02;1&w_ssj_f_08_02&w_ssj_m_08_02;1&w_ssj_f_08_03&w_ssj_m_08_03;1&w_ssj_f_08_03&w_ssj_m_08_03;1&w_ssj_f_08_03&w_ssj_m_08_03;1&w_ssj_f_08_04&w_ssj_m_08_04;,,Click_t2.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">紫电为雄，清霜为雌，传言天地有情，有感于造化无常，万类相伤，黯然神伤之情幻化为此剑与天地间。</FONT></P>",
9,清霜,1,1,6,,9,1,1,1,1,1,0,0,1,,,,24000,,,,,,,97,94&103,,,0.8,200,,6,,,,,,,,,80,150,80,,,168,,326,,4,1,pic_w_ssj_09,ss_fj,eff_addhp,w_ssj_f_09,1&w_ssj_f_09&w_ssj_m_09;1&w_ssj_f_09&w_ssj_m_09;1&w_ssj_f_09_01&w_ssj_m_09_01;1&w_ssj_f_09_01&w_ssj_m_09_01;1&w_ssj_f_09_02&w_ssj_m_09_02;1&w_ssj_f_09_02&w_ssj_m_09_02;1&w_ssj_f_09_02&w_ssj_m_09_02;1&w_ssj_f_09_03&w_ssj_m_09_03;1&w_ssj_f_09_03&w_ssj_m_09_03;1&w_ssj_f_09_03&w_ssj_m_09_03;1&w_ssj_f_09_04&w_ssj_m_09_04;,,Click_t2.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">相传此飞剑与蜀山山谷之中玄冰寒气千年缠绵，以致此剑出谷之时，谷外景色瞬时千里冰封。</FONT></P>",
10,问天,1,1,6,,10,1,1,1,1,1,0,0,1,,,,32000,,,,,,,108,103&114,,,0.8,200,,6,,,,,,,,,90,150,90,,,188,,366,,4,1,pic_w_ssj_10,ss_fj,eff_addhp,w_ssj_f_10,1&w_ssj_f_10&w_ssj_m_10;1&w_ssj_f_10&w_ssj_m_10;1&w_ssj_f_10_01&w_ssj_m_10_01;1&w_ssj_f_10_01&w_ssj_m_10_01;1&w_ssj_f_10_02&w_ssj_m_10_02;1&w_ssj_f_10_02&w_ssj_m_10_02;1&w_ssj_f_10_02&w_ssj_m_10_02;1&w_ssj_f_10_03&w_ssj_m_10_03;1&w_ssj_f_10_03&w_ssj_m_10_03;1&w_ssj_f_10_03&w_ssj_m_10_03;1&w_ssj_f_10_04&w_ssj_m_10_04;,,Click_t2.wav,,,100,,,,,,,,,,,,,0,,,,,,,1,,"<P><FONT color=""#88aadd"">相传此飞剑乃是剑仙前辈高人于困惑长思之中炼制而成，剑成，其惑亦解。</FONT></P>",
