ID,所在场景ID,怪物名字,怪物ID,怪物数量,重生地点,重生周期(秒),阵营ID,首领,重生开始时间,重生结束时间,重生概率,胆量,团结,忠诚,愤怒1,愤怒2,备注,
1,1,魁猪,351,1,sys_3_1,20,0,0,0,24,1,1,1,1,30,70,,
2,1,魁猪,351,1,sys_3_2,20,0,0,0,24,1,1,1,1,30,70,,
3,1,魁猪,351,1,sys_3_3,20,0,0,0,24,1,1,1,1,30,70,,
4,1,魁猪,351,2,sys_3_4,20,0,0,0,24,1,1,1,1,30,70,,
5,1,魁猪,351,1,sys_3_5,20,0,0,0,24,1,1,1,1,30,70,,
6,1,魁猪,351,1,sys_3_6,20,0,0,0,24,1,1,1,1,30,70,,
7,1,魁猪,351,1,sys_3_7,20,0,0,0,24,1,1,1,1,30,70,,
8,1,魁猪,351,2,sys_3_8,20,0,0,0,24,1,1,1,1,30,70,,
9,1,魁猪,351,1,sys_3_9,20,0,0,0,24,1,1,1,1,30,70,,
10,1,魁猪,351,1,sys_3_10,20,0,0,0,2,1,1,1,1,30,70,,
11,1,地痞,353,1,sys_3_11,20,0,0,0,24,1,1,1,1,30,70,,
12,1,地痞,353,1,sys_3_12,20,0,0,0,24,1,1,1,1,30,70,,
13,1,地痞,353,1,sys_3_13,20,0,0,0,24,1,1,1,1,30,70,,
14,1,地痞,353,1,sys_3_14,20,0,0,0,24,1,1,1,1,30,70,,
15,1,地痞,353,1,sys_3_15,20,0,0,0,24,1,1,1,1,30,70,,
16,1,地痞,353,2,sys_3_16,20,0,0,0,24,1,1,1,1,30,70,,
17,1,地痞,353,2,sys_3_17,20,0,0,0,24,1,1,1,1,30,70,,
18,1,地痞,353,1,sys_3_18,20,0,0,0,24,1,1,1,1,30,70,,
19,1,地痞,353,1,sys_3_19,20,0,0,0,24,1,1,1,1,30,70,,
20,1,应声虫,354,1,sys_3_20,20,0,0,0,24,1,1,1,1,30,70,,
21,1,应声虫,354,1,sys_3_21,20,0,0,0,24,1,1,1,1,30,70,,
22,1,应声虫,354,1,sys_3_22,20,0,0,0,24,1,1,1,1,30,70,,
23,1,应声虫,354,1,sys_3_23,20,0,0,0,24,1,1,1,1,30,70,,
24,1,应声虫,354,1,sys_3_24,20,0,0,0,24,1,1,1,1,30,70,,
25,1,应声虫,354,1,sys_3_25,20,0,0,0,24,1,1,1,1,30,70,,
26,1,应声虫,354,1,sys_3_26,20,0,0,0,24,1,1,1,1,30,70,,
27,1,,,0,sys_3_27,20,0,0,0,24,1,1,1,1,30,70,,
28,1,应声虫,354,1,sys_3_28,20,0,0,0,24,1,1,1,1,30,70,,
29,1,应声虫,354,1,sys_3_29,20,0,0,0,24,1,1,1,1,30,70,,
30,1,应声虫,354,1,sys_3_30,20,0,0,0,24,1,1,1,1,30,70,,
31,1,大刀山贼,356,1,sys_3_31,20,0,0,0,24,1,1,1,1,30,70,,
32,1,大刀山贼,356,0,sys_3_32,20,0,0,0,24,1,1,1,1,30,70,,
33,1,大刀山贼,356,1,sys_3_33,20,0,0,0,24,1,1,1,1,30,70,,
34,1,大刀山贼,356,0,sys_3_34,20,0,0,0,24,1,1,1,1,30,70,,
35,1,大刀山贼,356,2,sys_3_35,20,0,0,0,24,1,1,1,1,30,70,,
36,1,大刀山贼,356,3,sys_3_36,20,0,0,0,24,1,1,1,1,30,70,,
37,1,大刀山贼,356,1,sys_3_37,20,0,0,0,24,1,1,1,1,30,70,,
38,1,大刀山贼,356,2,sys_3_38,20,0,0,0,24,1,1,1,1,30,70,,
39,1,大刀山贼,356,1,sys_3_39,20,0,0,0,24,1,1,1,1,30,70,,
40,1,大刀山贼,356,0,sys_3_40,20,0,0,0,24,1,1,1,1,30,70,,
41,1,巨型魁猪,352,1,sys_3_1,20,0,0,0,24,1,1,1,1,30,70,,
42,1,巨型魁猪,352,2,sys_3_2,20,0,0,0,24,1,1,1,1,30,70,,
43,1,巨型魁猪,352,1,sys_3_3,20,0,0,0,24,1,1,1,1,30,70,,
44,1,巨型魁猪,352,1,sys_3_4,20,0,0,0,24,1,1,1,1,30,70,,
45,1,巨型魁猪,352,1,sys_3_5,20,0,0,0,24,1,1,1,1,30,70,,
46,1,巨型魁猪,352,1,sys_3_6,20,0,0,0,24,1,1,1,1,30,70,,
47,1,巨型魁猪,352,1,sys_3_7,20,0,0,0,24,1,1,1,1,30,70,,
48,1,巨型魁猪,352,3,sys_3_8,20,0,0,0,24,1,1,1,1,30,70,,
49,1,巨型魁猪,352,1,sys_3_9,20,0,0,0,24,1,1,1,1,30,70,,
50,1,巨型魁猪,352,1,sys_3_10,20,0,0,0,24,1,1,1,1,30,70,,
51,1,地痞,353,0,sys_3_11,20,0,0,0,24,1,1,1,1,30,70,,
52,1,地痞,353,0,sys_3_12,20,0,0,0,24,1,1,1,1,30,70,,
53,1,地痞,353,0,sys_3_13,20,0,0,0,24,1,1,1,1,30,70,,
54,1,地痞,353,0,sys_3_14,20,0,0,0,24,1,1,1,1,30,70,,
55,1,地痞,353,0,sys_3_15,20,0,0,0,24,1,1,1,1,30,70,,
56,1,地痞,353,0,sys_3_16,20,0,0,0,24,1,1,1,1,30,70,,
57,1,地痞,353,0,sys_3_17,20,0,0,0,24,1,1,1,1,30,70,,
58,1,地痞,353,0,sys_3_18,20,0,0,0,24,1,1,1,1,30,70,,
59,1,地痞,353,1,sys_3_19,20,0,0,0,24,1,1,1,1,30,70,,
60,1,噬魂魔蛛,355,1,sys_3_20,20,0,0,0,24,1,1,1,1,30,70,,
61,1,噬魂魔蛛,355,1,sys_3_21,20,0,0,0,24,1,1,1,1,30,70,,
62,1,噬魂魔蛛,355,1,sys_3_22,20,0,0,0,24,1,1,1,1,30,70,,
63,1,噬魂魔蛛,355,0,sys_3_23,20,0,0,0,24,1,1,1,1,30,70,,
64,1,噬魂魔蛛,355,0,sys_3_24,20,0,0,0,24,1,1,1,1,30,70,,
65,1,噬魂魔蛛,355,1,sys_3_25,20,0,0,0,24,1,1,1,1,30,70,,
66,1,噬魂魔蛛,355,1,sys_3_26,20,0,0,0,24,1,1,1,1,30,70,,
67,1,,,0,sys_3_27,20,0,0,0,24,1,1,1,1,30,70,,
68,1,噬魂魔蛛,355,1,sys_3_28,20,0,0,0,24,1,1,1,1,30,70,,
69,1,噬魂魔蛛,355,1,sys_3_29,20,0,0,0,24,1,1,1,1,30,70,,
70,1,噬魂魔蛛,355,1,sys_3_30,20,0,0,0,24,1,1,1,1,30,70,,
71,1,山贼射手,357,0,sys_3_31,20,0,0,0,24,1,1,1,1,30,70,,
72,1,山贼射手,357,1,sys_3_32,20,0,0,0,24,1,1,1,1,30,70,,
73,1,山贼射手,357,0,sys_3_33,20,0,0,0,24,1,1,1,1,30,70,,
74,1,山贼射手,357,1,sys_3_34,20,0,0,0,24,1,1,1,1,30,70,,
75,1,山贼射手,357,2,sys_3_35,20,0,0,0,24,1,1,1,1,30,70,,
76,1,山贼射手,357,2,sys_3_36,20,0,0,0,24,1,1,1,1,30,70,,
77,1,山贼射手,357,0,sys_3_37,20,0,0,0,24,1,1,1,1,30,70,,
78,1,山贼射手,357,2,sys_3_38,20,0,0,0,24,1,1,1,1,30,70,,
79,1,山贼射手,357,1,sys_3_39,20,0,0,0,24,1,1,1,1,30,70,,
80,1,山贼射手,357,1,sys_3_40,20,0,0,0,24,1,1,1,1,30,70,,
81,1,地痞头目,358,1,sys_3_boss1,30,0,0,0,24,1,1,1,1,30,70,,
82,1,玄峰,328,1,sys_4_1,20,0,0,0,24,1,1,1,1,30,70,,
83,1,玄峰,328,1,sys_4_2,20,0,0,0,24,1,1,1,1,30,70,,
84,1,玄峰,328,1,sys_4_3,20,0,0,0,24,1,1,1,1,30,70,,
85,1,玄峰,328,1,sys_4_4,20,0,0,0,24,1,1,1,1,30,70,,
86,1,玄峰,328,1,sys_4_5,20,0,0,0,24,1,1,1,1,30,70,,
87,1,玄峰,328,1,sys_4_6,20,0,0,0,24,1,1,1,1,30,70,,
88,1,玄峰,328,1,sys_4_7,20,0,0,0,24,1,1,1,1,30,70,,
89,1,玄峰,328,1,sys_4_8,20,0,0,0,24,1,1,1,1,30,70,,
90,1,玄峰,328,1,sys_4_9,20,0,0,0,24,1,1,1,1,30,70,,
91,1,玄峰,328,1,sys_4_10,20,0,0,0,24,1,1,1,1,30,70,,
92,1,玄峰,328,0,sys_4_11,20,0,0,0,24,1,1,1,1,30,70,,
93,1,玄峰,328,1,sys_4_12,20,0,0,0,24,1,1,1,1,30,70,,
94,1,玄峰,328,1,sys_4_13,20,0,0,0,24,1,1,1,1,30,70,,
