string,int,int,int,,,string,,,,,string,string,string,float,float,float,,,int,float,float,float,float,int,int,int,int,int,int,int,int[3],int[3],int,int,,int,float,int,int;int,rate;rate,,,,rate,,,,,int,int,int,int,int,int,int,rate,int,rate,int,,int,,,,,,,,,,,,,,,bool,,
名字,ID,模型ID,类型,活动怪物,功能,默认对话,功能头顶标示,坐标,中地图名,分组id,出售物品,出售稀有物品,脚本,巡逻距离,视野范围,最大活动距离,协助范围,战斗方式,技能,技能使用概率,攻击距离,移动速度,攻击速度,LEVEL,HP,MP,Attack,Damage,Dodge,Armor,属性攻击伤害,抗性,Exp,SP,声望,Gold,金钱掉落几率,LEVEL1,掉落道具,掉落道具概率,绑定方式,随机掉落,随机掉落概率,绿色概率,蓝色概率,金色概率,掉落元神,掉落元神概率,相关任务,是否副本任务,皮料ID,尸体存在时间秒,剥皮时间秒,任务道具,掉落上限,任务道具概率,是否催粮任务,催粮任务概率,可接受任务,可完成任务,AI类型,AI级别,巡逻路径,召唤目标ID,阵营,居住地,重生周期,难度,Boss,头像,半身像,保护者ID,事件命令,备注,任务相关类型,死亡是否提示,死亡特效LINK点,死亡特效
村长黄植,1,22,2,,,task/npc/task_n001.html,,"1020,3345,60;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10001;11042;11044;11003;11004;11005;11006;11007,11043;11002;11003;11004;11005;11006;11007,,,,,,,,,,pic_n022,pic_n022_b,0,,,1,0,,
杨仙道【药铺】,2,24,2,,1,task/shopnpc/yaowu_01.html,pic_f_icon03,"1215,2090,90;",镜花村,补给,6001;6002;7701;7702;7703,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11051,11050,,,,,,,,,,pic_n024,pic_n024_b,0,,,1,0,,
小云,3,26,2,,,task/npc/task_n003.html,,"340,2540,120;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11120,11119,,,,,,,,,,pic_n026,pic_n026_b,0,,,1,0,,
小依,4,21,2,,,task/npc/task_n004.html,,"-1410,2370,246;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11000,,,,,,,,,,,pic_n021,pic_n021_b,0,,,1,0,,
郭实【武器铺】,5,23,2,,1;6,task/shopnpc/wuqi_01.html,pic_f_icon01,"1140,1340,90;",镜花村,补给,1;21;41;61;81;101;121;141;2;22;42;62;82;102;122;142;3;23;43;63;83;103;123;143;7501;7502;7503;5340,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11036,11035,,,,,,,,,,pic_n023,pic_n023_b,0,,,1,0,,
云娘【服饰铺】,6,25,2,,1;6,task/shopnpc/yifu_01.html,pic_f_icon02,"540,1790,134;",镜花村,补给,2001;2021;2041;2061;2201;2221;2241;2261;2401;2421;2441;2461;2601;2621;2641;2661;2002;2022;2042;2062;2202;2222;2242;2262;2402;2422;2442;2462;2602;2622;2642;2662;2003;2023;2043;2063;2203;2223;2243;2263;2403;2423;2443;2463;2603;2623;2643;2663;7601;7602;7603,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11037,,,,,,,,,,,pic_n025,pic_n025_b,0,,,1,0,,
乌惠,7,204,2,,7,,pic_f_icon08,,,,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n047,pic_n047_b,0,,,1,0,,
阿宝,8,69,2,,,task/npc/task_n008.html,,"900,2380,120;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11119,11118,,,,,,,,,,pic_n026,pic_n026_b,0,,,1,0,,
小米,9,70,2,,,task/npc/task_n009.html,,"1240,2780,90;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11118;11032,11117;11031;11032,,,,,,,,,,pic_n026,pic_n026_b,0,,,1,0,,
小白,10,71,2,,,task/npc/task_n010.html,,,,,,,,100,0,1000,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,s_guarder,6,"1040,3205;1040,2980;1030,2870;980,2760;945,2685;840,2665;805,2605;780,2500;745,2430;760,2265;730,2145;585,2185;425,2225;280,2185;130,2135;-10,2140;-125,2135;-390,1875;-580,1580;-770,1375;-995,1425;-1115,1575;-1290,1745;-1460,1975;-1545,2195;",,,,,,,pic_n026,pic_n026_b,0,,,1,0,,
阿龙,11,72,2,,,task/npc/task_n011.html,,"-60,2280,120;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11121;11123,11120;11122,,,,,,,,,,pic_n026,pic_n026_b,0,,,1,0,,
红姑娘【钱庄】,12,39,2,,5,task/shopnpc/qianzhuang_01.html,pic_f_icon09,"590,1135,60;",镜花村,补给,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11043,11042,,,,,,,,,,pic_n039,pic_n039_b,0,,,1,0,,
老乞丐孙苦来,13,44,2,,,task/npc/task_n013.html,,"365,1115,60;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n044,pic_n044_b,0,,,1,0,,
陆田,14,28,2,,,task/npc/task_n014.html,,"1710,2425,142;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10002;11045;16021,10001;11044;16020,,,,,,,,,,pic_n028,pic_n028_b,0,,,1,0,,
茅山道士,15,24,2,,,task/npc/task_n015.html,,"545,5840,0;",铁峰岭,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11100;11101;11102;11103;11106;10007;10008,11100;11101;11102;11105;11108;10006;10007,,,,,,,,,,pic_n024,pic_n024_b,0,,,1,0,,
玉翠兰,16,25,2,,,task/npc/task_n016.html,,"-3255,5205,60;",铁峰岭,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11110;11111;10011,11110;11112;10010;10011,,,,,,,,,,pic_n025,pic_n025_b,0,,,1,0,,
张货郎【杂食铺】,17,38,2,,1,task/shopnpc/zawu_01.html,pic_f_icon14,"1080,990,254;",镜花村,补给,6052;6053;6056;6057;5207,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n038,pic_n038_b,0,,,1,0,,
守卫,18,30,2,,,task/npc/task_n018.html,,"-500,7005,0;",铁峰岭,其他,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
李程,19,31,2,,,task/npc/task_n019.html,,"-750,7075,0;",铁峰岭,其他,,,,0,0,0,0,0,0,0,0,30,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11128;11130;11200,11128;11129;11130,,,,,,,,,,pic_n031,pic_n031_b,0,,,1,0,,
藏灵子,20,24,2,,,task/npc/task_n020.html,,"-2595,4615,60;",铁峰岭,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11108;11113;11114;11115;11116;11117;11124;11125;11126;11127;10009;10010;16023,11107;11113;11114;11115;11116;11123;11124;11125;11126;11127;10008;10009;16022,,,,,,,,,,pic_n024,pic_n024_b,0,,,1,0,,
奕龙,21,27,2,,,task/npc/task_n021.html,,"810,2815,62;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11038,11037,,,,,,,,,,pic_n027,pic_n027_b,0,,,1,0,,
三姑,22,34,2,,,task/npc/task_n022.html,,"6545,1240,226;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11046;11050;11052,11045;11051,,,,,,,,,,pic_n034,pic_n034_b,0,,,1,0,,
小依副本,23,21,2,,7,,pic_f_icon08,"2995,2415,116;",战痕峡谷,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n021,pic_n021_b,0,,,1,0,,
慧可,24,33,2,,,task/npc/task_n024.html,,"-765,1245,64;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11031;11034,11030,,,,,,,,,,pic_n033,pic_n033_b,0,,,1,0,,
白眉禅师,25,32,2,,,task/npc/task_n025.html,,"-1710,2185,144;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,14007;14257;14507;14757;11030;11001,14006;14256;14506;14756;11000,,,,,,,,,,pic_n032,pic_n032_b,0,,,1,0,,
余万生,26,28,2,,,task/npc/task_n026.html,,"5510,2850,17;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11112;10006;11053,11111;10005;11052,,,,,,,,,,pic_n028,pic_n028_b,0,,,1,0,,
黄大力【领双人】,27,30,2,,,task/shopnpc/check_card.html,pic_f_icon15,"920,1595,90;",镜花村,功能,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,11040;11049;11054,11041;11048;11049;11053;11054,,,,,,,,,,pic_n030,pic_n030_b,0,,,1,0,,
