int,string,string,string
ID,一般喊话,求助喊话,结束喊话
320,我不是普通的兔子，我是兔子王，又肥又大的兔子王。;天啊，我这么可爱，怎么没有人来抱我。;我很白，很纯洁。,像我这样纯洁可爱的兔子，你也舍得打？;来捉我吧，捉我去陪嫦娥。;别打我，我是兔子王，又肥又大的兔子王。,一点怜爱之心都没，真是败给你了。;做兔子总是被人吃，来世我一定要做人吃兔子。
321,来人啊，帮本王修饰一下身上的蛛纹。;大家满山溜溜，多抓一些食物来。,本王的毒牙咬过你屁股，你死定了。;怎么还不趴下，本王的毒汁都快没了。;为了本王少喷口水，你快倒下吧。,你等着，本王的王妃们一定会用口水报复你的。;本王错了，本王不该咬肿你屁股的。
326,哪里有压迫，哪里就有反抗。;兄弟们打起精神，小心敌人袭营。;别人杀人叫义军，我们杀人叫暴民，什么世道。,与我作对，自寻死路。;我是老大，我怕谁。;见到我彪悍的胸肌，吓到了吧，哈哈！,没想到我大刀王五也有今天。;要是我手握屠龙刀，赢的一定是我。
327,小的们，千万别洗蒸汽浴啊，昨天本王就见到螃蟹兄躺在人家蒸锅上被蒸熟了。;不要这样看着你们的王，再看，再看本王的脸都红了。,喂，别看本王隐私，对付你还用不着暗放蛛丝呢。;真后悔，没有镶上两颗钢牙。;与本王为敌的人，最后都将成为干尸。,没有偷袭你真是失策。;死前请允许本王说一句，就这一句。
6001,左青龙，右白虎，老牛在腰间，人挡杀人，佛挡杀佛;此树是我栽，此路是我开，要想虫子过……忘词了。;做人难，做个好强盗真难。,哎哟喂，别打我脸。;为什么总要打我脸，为什么总要忌妒我的帅。;砍吧，尽情的砍吧，我的刀将饱饮你的鲜血。,"我没输，只是想躺着休息一下而已。;这局不算，等我复活再打。;现在才发现,强盗不是人人可以做的。"
6002,哼唧！哼唧！;仙侠世界就是好，连猪也可以说话，哼唧哼唧！;出来混，要跟个好主人，吃穿不愁啊。,打猪也要看主人，主人快来帮我。;想用我做猪排，做梦。;今天，我要将你变成猪食。,卑鄙的人，我的后人猪八戒会帮我报仇的。;我没有辱没猪的尊严。;惨，还是没有逃脱猪的命运。
6003,过路的老少爷们，这年头日子不好过，行行好，借点财来救急。;没有实力行走江湖真是麻烦，看来我得创一套弯刀刀法才行。;做人难，做个好流氓真难。,去死吧。;圆月刀法，看我一刀制敌。;下手这么狠，欺我头发少吗？,不应该输得这么惨啊，那可是圆月刀法。;解脱了，希望不会下地狱。;早知道练辟邪剑法了。
6004,小李子还是小梨子，你说我们打劫什么人好呢？;小李子，怎么没有人理我？;小李子，那句打劫的话怎么说来着？,小李子快上，咬他丫的。;等等，我裤子掉了，尽管我没有裤子。;可怜的人啊，你为什么不绕道走呢。,要不是我裤子掉了，你怎么会赢？;哎，饿的呀，早知道先吃了小李子。;原来出来混，迟早会还的。
358,兄弟们，随便杀，随便抢，朝庭那般废物不敢怎么样的。;看城门口那些饭桶，都吓得尿裤子了。,嘿嘿，既然被大爷逮到，不留点东西怎么行？;疼吗？早知今日，何必刚才呢。;去死吧。,人有失手，马有失蹄啊。;眼拙了，没看出你是个练家子。
347,我是一只邪恶的巨玄蜂，飞到西啊又飞到东，嗡嗡嗡……;整天飞东飞西真是无聊，能找到邪恶的事做就好了。;为了邪恶，我豪不犹豫地付出。,玄蜂采花不采人，快走开。;跟我斗，嗡嗡嗡地烦死你。;看招，玄蜂尾后针。,为了邪恶，死得其所。;天啊，我是蜂，不是蚊子，居然把我拍死，污辱啊。
348,人过必留尸，鸟过必无毛。;做贼也不容易啊，刀口舔血，当然要狠一些了。,弟兄们上，将他挫骨扬灰。;下手这么狠，欺我头发少吗？;哎哎，打我头，我要杀了你。,歧视我头发少，你会有报应的。;别得意，我头发少，但长得比你好。;十八年后，老子又是一条好汉。
