,,,,基本属性,,,,,,,,,条件,,,,,,施放,,,,,,,,,,,,,,,,,飞行,,,,攻击,,,,,,,,,受击,,,,,,,,,,,,,,,,,,,      ,,,,
WORD,char[20],WORD,WORD,DWORD,int,1,int,int,int,RtString,RtString,char[50],int,struct,struct,int,int,WORD,DWORD,int,int,int,int,int,char[20],char[20],char[20],char[20],char[20],char[20],int,char[20],char[20],char[20],char[20],BYTE,BYTE,WORD,char[20],DWORD,BYTE,BYTE,WORD,BYTE,BYTE,BYTE,BYTE,DWORD,char[20],char[20],char[20],int,struct,struct,struct,struct,int,int,struct,struct,int,int,int,int,int,int,RtString,float,int,int,int,int
#编号,名字,"技能
类型ID","技能
系列","技能
类型","技能
等级","最高
等级",技能升级经验,能看到等级,公式用,简单说明,详细说明,图标,消耗MP,使用条件,学习条件,消耗sp,消耗灵力,"加强技能
的类型","施放
目标","施放
最小距离","施放
最大距离",打击次数,"施放
时间","施放恢
复时间","施放
动作(单手)","施放
动作(双手)","施放
触发事件","施放
特效(单手)",武器路径动画,武器动画名,需增加显示几个武器模型,"施放
特效(双手)","施放
特效Link",施放音效,"施放的
循环音效","是否
飞行","飞行
方式","飞行
速度","飞行
特效","攻击
目标","是否范
围攻击","最大目
标个数","最大作
用范围","是否
有害","伤害
计算","伤害
方式",总是可用技能,"爆击几率
(0-100)","受击
特效","受击
特效Link",人物切换模型（特效）,公式用,"自己的临
时叠加效果","临时叠
加效果",使用效果(自身),使用效果（目标）,"状态
命中加成","状态
类型",状态效果,状态效果,是否吟唱,吟唱时间,打断几率,被打断几率,是否瞬间移动,无视防御,多加强,消耗怒气值,持续状态ID,是否加血技能,附加状态类型,加强状态命中加成
wIdx,szName,wSubID,wClass,dwType,iLevel,iMaxLev,iLevelUpExp,filterSee,iLevsee,szSimpleDesc,szDescription,szIcon,iMP,filterUse,filterStudy,iSP,iSoul,wStrSkillSub,dwRTarget,iRMinDest,iRMaxDest,iHits,iRTime,iRRTime,szRAction1,szRAction2,szREvent,szREffect1,szWayModel,szWayName,iAddModel,szREffect2,szREfLink,szRSound,szRSoundLoop,bFly,cFlyType,wFlySpeed,szFlyEffect,dwATarget,bAType,cAMaxObj,wARange,bABad,bADamage,DamageMode,AlwaysUsable,dwAHitRate,szUEffect,szUEfLink,szChangeModel,iLevsee,actSelfTemp,actTargetTemp,actSelfUse,actTargetUse,iStateRate,iStateType,actSelfState,actTargetState,iIsIntonate,iIntonateTime,iBreakOdds,iBeBreakOdds,isFlashMove,IgnoreArmor,wManyStrSkillSub,ConsumeAnger,effectID,IsAddHPSkill,ResistState,iStrStateRate
2000,淬冰,1,10,0,1,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+62,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,15,WeaponEquiped=1;WeaponType&128,Level>=1;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+62;AttackRate+18,,,,,,,,,,,,,,8;9;19,,,,,
2001,淬冰,1,10,0,2,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+102,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,26,WeaponEquiped=1;WeaponType&128,Level>=5;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+102;AttackRate+28,,,,,,,,,,,,,,8;9;19,,,,,
2002,淬冰,1,10,0,3,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+163,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,46,WeaponEquiped=1;WeaponType&128,Level>=10;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+163;AttackRate+38,,,,,,,,,,,,,,8;9;19,,,,,
2003,淬冰,1,10,0,4,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+219,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,66,WeaponEquiped=1;WeaponType&128,Level>=15;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+219;AttackRate+48,,,,,,,,,,,,,,8;9;19,,,,,
2004,淬冰,1,10,0,5,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+298,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,86,WeaponEquiped=1;WeaponType&128,Level>=20;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+298;AttackRate+58,,,,,,,,,,,,,,8;9;19,,,,,
2005,淬冰,1,10,0,6,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+363,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,106,WeaponEquiped=1;WeaponType&128,Level>=25;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+363;AttackRate+68,,,,,,,,,,,,,,8;9;19,,,,,
2006,淬冰,1,10,0,7,15,0,Metier=3;MetierLev>=0;Level>=1,,水伤害+460,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">萃取太阴寒冰之精华赋于法剑之上伤敌。</FONT></P>",pic_skill_ssj_01,126,WeaponEquiped=1;WeaponType&128,Level>=30;Metier=3;NeedSP 10 0;,1,,,11,0,200,1,1350,2000,skill_j0,,shit,,,skill_j0,,,,,,0,0,,skill_bullet0,11,0,,,1,1,0,,0,skill_hit0,root,,,WaterDm+460;AttackRate+78,,,,,,,,,,,,,,8;9;19,,,,,
