ID,允许直接接受,分组ID,催粮任务,跑环任务,文官任务,文官任务计数,任务名称,任务描述,动态提示,提示道具,提示数量,任务接受条件,任务完成条件,最低等级,最高等级,国家限制,职业限制,官职要求,是否可重复,接受时间限制,完成时间限制,任务标记道具,是否可取消,接受任务标记,完成方式,npc1接任务对话,npc1接任务后对话,npc1任务中对话,npc2任务中对话,npc2完成任务后对话,npc2选择失败对话,,固定奖励,随机奖励概率,随机奖励,,选择标记1,选择标记2,选择标记3,选择标记4,选择标记5,特殊要求1,特殊要求2,特殊要求3,特殊要求4,特殊要求5,特殊奖励概率,特殊奖励1,特殊奖励2,特殊奖励3,特殊奖励4,特殊奖励5,任务区域,任务区块分组,是否受上限个数限制,是否可共享,任务相关信息,接受NPC坐标,完成NPC坐标,可选奖励,动态提示2,职业奖励
10000,1,0,0,0,0,0,补偿礼包,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><font color=""#C8FFF1"">由于此次测试个别玩家奖励包裹丢失，为了弥补玩家的损失，</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 11012"">小月（镜花村39 73）</a><font color=""#C8FFF1"">特意为玩家补发一件补偿礼包，并感谢各位对本公司大力支持。这是任务描述</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,,,10,100,2,0,0,0,0,-1,,0,Enttask_t10000,0,task/task_t10000/task_t10000_01.html,,,,task/task_t10000/task_t10000_04.html,,,item 5754 1,,,,,,,,,,,,,,,,,,,,镜花村,40,0,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 11012"">小月（镜花村39 73）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：1级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：与</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 11012"">小月（镜花村39 73）</a><font color=""#C8FFF1"">交谈</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","790,1470;","790,1470;",,"<font color=""#C8FFF1"">与</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 11012"">小月（镜花村39 73）</a><font color=""#C8FFF1"">交谈</font>",
10001,1,0,0,0,0,0,莫名冷遇,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui/textures/28_a.tga"" width=""420"" height=""18"" source=""""/></p>
<p><font color=""#C8FFF1"">初到此地，你向镜花村</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 1"">村长黄植（镜花村51 167）</a><font color=""#C8FFF1"">打招呼，欲找个地方歇脚。谁知村长言语冷淡，有些反常。你寻思着，去找正在田间劳作的</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 14"">陆田（镜花村85 121）</a><font color=""#C8FFF1"">询问村中是否有事发生。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,,,1,100,2,0,0,0,0,-1,,1,Enttask_t10001,0,task/task_t10001/task_t10001_01.html,,task/task_t10001/task_t10001_02.html,,task/task_t10001/task_t10001_04.html,,,"exp 720
gold 30
credit 3 2",,,,,,,,,,,,,,,,,,,,镜花村,0,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 1"">村长黄植（镜花村51 167）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：1级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 14"">陆田（镜花村85 121）</a><font color=""#C8FFF1"">对话</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：初到此地，你向镜花村</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 1"">村长黄植（镜花村51 167）</a><font color=""#C8FFF1"">打招呼，欲找个地方歇脚。谁知村长言语冷淡，有些反常。你寻思着，去找正在田间劳作的</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 14"">陆田（镜花村85 121）</a><font color=""#C8FFF1"">询问村中是否有事发生。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","1020,3345;","1710,2425;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 14"">陆田（镜花村85 121）</a>",
10002,1,0,0,0,0,0,镜花仙子,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui/textures/28_a.tga"" width=""420"" height=""18"" source=""""/></p>
<p><a href=""client://clientmovetoscene4 scene01 190 418 scene03 14"">陆田（镜花村85 121）</a><font color=""#C8FFF1"">禁不住你缠闹，说出镜花村里突然出现了不少精怪，肆意破坏，使得村中居民不得安宁，更有不少村民受了伤。幸有一名仙女模样的女子巫丞玉替他们治伤，可那名女子不愿为他们驱除精怪。陆田见你嘴甜，让你去村口试试劝说</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a><font color=""#C8FFF1"">。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,taskdone 10001,,1,100,2,0,0,0,0,-1,,1,Enttask_t10002,0,task/task_t10002/task_t10002_01.html,,task/task_t10002/task_t10002_02.html,,task/task_t10002/task_t10002_04.html,,,"exp 454
gold 24
credit 3 12",,,,,,,,,,,,,,,,,,,,镜花村,0,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 14"">陆田（镜花村85 121）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：1级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：与</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a><font color=""#C8FFF1"">对话</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 14"">陆田（镜花村85 121）</a><font color=""#C8FFF1"">禁不住你缠闹，说出镜花村里突然出现了不少精怪，肆意破坏，使得村中居民不得安宁，更有不少村民受了伤。幸有一名仙女模样的女子巫丞玉替他们治伤，可那名女子不愿为他们驱除精怪。陆田见你嘴甜，让你去村口试试劝说</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a><font color=""#C8FFF1"">。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","1710,2425;","2070,1544;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a>",
10003,1,0,0,0,0,0,仙之形式,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui/textures/28_a.tga"" width=""420"" height=""18"" source=""""/></p>
<p><font color=""#C8FFF1"">见到陆田口中的</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a><font color=""#C8FFF1"">，原来是苗疆的外修弟子。巫丞玉以为你是私自外出，你抢口解释，道出当今形式为回答。解释过后，与巫丞玉初建交情，向她请教关于镜花村之怪事。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,taskdone 10002,,1,100,2,0,0,0,0,-1,,1,Enttask_t10003,0,task/task_t10003/task_t10003_01.html,,,,task/task_t10003/task_t10003_04.html,,,"exp 279
gold 18
credit 3 34",,,,,,,,,,,,,,,,,,,,镜花村,0,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：1级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：同</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a><font color=""#C8FFF1"">谈话</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：见到陆田口中的</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a><font color=""#C8FFF1"">，原来是苗疆的外修弟子。巫丞玉以为你是私自外出，你抢口解释，道出当今形式为回答。解释过后，与巫丞玉初建交情，向她请教关于镜花村之怪事。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","2070,1544;","2070,1544;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a>",
10004,1,0,0,0,0,0,瘴气穴口,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a><font color=""#C8FFF1"">在村外竹藤精聚集地捕捉到一只山猪，她随山猪发现巢穴处充满瘴气，她认为这应是影响精怪行为的根由。巫丞玉送你太清符，让你去封印</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 199"">瘴气穴口（镜花村281 99）</a><font color=""#C8FFF1"">，而自己防止精怪异变冲击村庄。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","<font color=""#C8FFF1"">用太清符封印</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 199"">瘴气穴口（镜花村281 99）</a>",,,"taskdone 10003
ifree 1",useitem 5223 10005,1,100,2,0,0,0,0,-1,item 5223 1,1,Enttask_t10004,0,task/task_t10004/task_t10004_01.html,,task/task_t10004/task_t10004_02.html,task/task_t10004/task_t10004_02.html,task/task_t10004/task_t10004_04.html,,,"exp 3017
gold 62
credit 3 73",,,,,,,,,,,,,,,,,,,,镜花村,0,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：1级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：用太清符封印</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 199"">瘴气穴口（镜花村281 99）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a><font color=""#C8FFF1"">在村外竹藤精聚集地捕捉到一只山猪，她随山猪发现巢穴处充满瘴气，她认为这应是影响精怪行为的根由。巫丞玉送你太清符，让你去封印</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 199"">瘴气穴口（镜花村281 99）</a><font color=""#C8FFF1"">，而自己防止精怪异变冲击村庄。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","2070,1544;","2070,1544;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a>",
10005,1,0,0,0,0,0,掳人事件,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui_texture/任务描述.tga"" width=""430"" height=""24"" source=""""/></p>
<p><font color=""#C8FFF1"">余万生家妻儿被妖怪掳去，村长黄植前来找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a><font color=""#C8FFF1"">求助。但巫丞玉尚须照理受伤村民，不得已，让你前去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 26"">余万生（镜花村275 142）</a><font color=""#C8FFF1"">问问发生了何事。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,taskdone 10004,,3,100,2,0,0,0,0,-1,,1,Enttask_t10005,0,task/task_t10005/task_t10005_01.html,,task/task_t10005/task_t10005_02.html,,task/task_t10005/task_t10005_04.html,,,"exp 2772
gold 57
credit 3 132",,,,,,,,,,,,,,,,,,,,镜花村,0,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：3级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 26"">余万生（镜花村275 142）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：余万生家妻儿被妖怪掳去，村长黄植前来找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 197"">巫丞玉（镜花村103 77）</a><font color=""#C8FFF1"">求助。但巫丞玉尚须照理受伤村民，不得已，让你前去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 26"">余万生（镜花村275 142）</a><font color=""#C8FFF1"">问问发生了何事。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","2070,1544;","5510,2850;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 26"">余万生（镜花村275 142）</a>",
10006,1,0,0,0,0,0,鲁莽哀求,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui/textures/28_a.tga"" width=""420"" height=""18"" source=""""/></p>
<p><a href=""client://clientmovetoscene4 scene01 190 418 scene03 26"">余万生（镜花村275 142）</a><font color=""#C8FFF1"">见你解决镜花村精怪作乱一事，知你本事了得，拉住你，哭哭闹闹中说出其妻儿在昨日里被一只石人精怪抓走，求你设法救出他家妻儿。余万生指出那石人精怪向铁峰岭飞去，具体去向可询问铁峰岭山中破宇处一</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a><font color=""#C8FFF1"">。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,taskdone 10005,,5,100,2,0,0,0,0,-1,,1,Enttask_t10006,0,task/task_t10006/task_t10006_01.html,,task/task_t10006/task_t10006_02.html,,task/task_t10006/task_t10006_04.html,,,"exp 1845
gold 38
credit 3 240",,,,,,,,,,,,,,,,,,,,镜花村,0,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 26"">余万生（镜花村275 142）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：5级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：与铁峰岭</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a><font color=""#C8FFF1"">对话</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 26"">余万生（镜花村275 142）</a><font color=""#C8FFF1"">见你解决镜花村精怪作乱一事，知你本事了得，拉住你，哭哭闹闹中说出其妻儿在昨日里被一只石人精怪抓走，求你设法救出他家妻儿。余万生指出那石人精怪向铁峰岭飞去，具体去向可询问铁峰岭山中破宇处一</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a><font color=""#C8FFF1"">。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","5510,2850;","545,5840;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a>",
10007,1,0,0,0,0,0,疯癫道士,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui/textures/28_a.tga"" width=""420"" height=""18"" source=""""/></p>
<p><font color=""#C8FFF1"">本欲问道士一些事情，可是道士不是哆哆噎噎，便是满口胡言，只能先行在</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a><font color=""#C8FFF1"">旁边使用道家</font><a href=""client://clientmovetoscene1 scene01 190 418 scene03 29 292"">静心符（铁峰岭29 292）</a><font color=""#C8FFF1"">，使他恢复心神再行定夺。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","<font color=""#C8FFF1"">对</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a><font color=""#C8FFF1"">使用静心符</font>",,,"taskdone 10006
ifree 1",useitem 5224 10007,7,100,2,0,0,0,0,-1,item 5224 1,1,Enttask_t10007,0,task/task_t10007/task_t10007_01.html,,task/task_t10007/task_t10007_02.html,task/task_t10007/task_t10007_02.html,task/task_t10007/task_t10007_04.html,,,"exp 1239
gold 25
credit 3 361",,,,,,,,,,,,,,,,,,,,铁峰岭,0,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：7级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：对</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a><font color=""#C8FFF1"">使用静心符</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：本欲问道士一些事情，可是道士不是哆哆噎噎，便是满口胡言，只能先行在</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a><font color=""#C8FFF1"">旁边使用道家</font><a href=""client://clientmovetoscene1 scene01 190 418 scene03 29 292"">静心符（铁峰岭29 292）</a><font color=""#C8FFF1"">，使他恢复心神再行定夺。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","545,5840;","545,5840;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a>",
10008,1,0,0,0,0,0,人有失算,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui/textures/28_a.tga"" width=""420"" height=""18"" source=""""/></p>
<p><font color=""#C8FFF1"">本以为</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a><font color=""#C8FFF1"">还复心神，会变得与常人一样，可未想这道士本来便是一个胡言乱语之人，找不出线索。抱着一线希望前往铁峰岭驿站，向驿站中的</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 20"">藏灵子（铁峰岭-130 230）</a><font color=""#C8FFF1"">打听线索。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,taskdone 10007,,7,100,2,0,0,0,0,-1,,1,Enttask_t10008,0,task/task_t10008/task_t10008_01.html,,task/task_t10008/task_t10008_02.html,,task/task_t10008/task_t10008_04.html,,,"exp 2421
gold 50
credit 3 559",,,,,,,,,,,,,,,,,,,,铁峰岭,0,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：7级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：找到</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 20"">藏灵子（铁峰岭-130 230）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：本以为</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 15"">茅山道士（铁峰岭27 292）</a><font color=""#C8FFF1"">还复心神，会变得与常人一样，可未想这道士本来便是一个胡言乱语之人，找不出线索。抱着一线希望前往铁峰岭驿站，向驿站中的</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 20"">藏灵子（铁峰岭-130 230）</a><font color=""#C8FFF1"">打听线索。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","545,5840;","-2595,4615;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 20"">藏灵子（铁峰岭-130 230）</a>",
10009,1,0,0,0,0,0,行事抉择,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p>&nbsp;</p>
<p><img src=""ui/textures/28_a.tga"" width=""420"" height=""18"" source=""""/></p>
<p><font color=""#C8FFF1"">你将余万生之事详细告之，</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 20"">藏灵子（铁峰岭-130 230）</a><font color=""#C8FFF1"">听完表情冷然。庆幸的是他对玉石精之事知晓一些。但你必须答应他的条件，不然线索就又断了。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[GOAL]
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>",,,,taskdone 10008,,7,100,2,0,0,0,0,-1,,1,Enttask_t10009,0,task/task_t10009/task_t10009_01.html,,,,task/task_t10009/task_t10009_04.html,,,"exp 684
gold 24
credit 3 105",,,,,,,,,,,,,,,,,,,,铁峰岭,0,1,0,"<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312""/>
</head>
<body>
<p><font color=""#00ff00"">[任务相关信息]</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务NPC：</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 20"">藏灵子（铁峰岭-130 230）</a></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">接受任务最低等级：7级</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务目标：答应</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 20"">藏灵子（铁峰岭-130 230）</a><font color=""#C8FFF1"">的条件</font></p>
<p>&nbsp;</p>
<p><font color=""#C8FFF1"">任务描述：你将余万生之事详细告之，</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 20"">藏灵子（铁峰岭-130 230）</a><font color=""#C8FFF1"">听完表情冷然。庆幸的是他对玉石精之事知晓一些。但你必须答应他的条件，不然线索就又断了。</font></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
$[REWARD]
</body>
</html>","-2595,4615;","-2595,4615;",,"<font color=""#C8FFF1"">去找</font><a href=""client://clientmovetoscene4 scene01 190 418 scene03 20"">藏灵子（铁峰岭-130 230）</a>",
