ID,跑环任务用道具ID
1,72
2,71
3,13
4,14
5,18
6,21
7,26
8,27
9,28
10,46
11,47
12,53
13,54
14,59
15,60
16,61
17,67
18,68
19,268
20,104
21,117
22,118
23,119
24,120
25,121
26,122
27,135
28,136
29,137
30,138
31,139
32,140
33,153
34,154
35,155
36,156
37,157
38,158
39,171
40,172
41,173
42,174
43,175
44,176
45,574
46,577
47,580
48,583
49,589
50,595
51,598
52,601
53,602
54,603
55,610
56,611
57,612
58,619
59,620
60,621
61,628
62,629
63,630
64,304
65,305
66,306
67,311
68,312
69,640
70,422
71,423
72,430
73,431
74,432
75,433
